_step,training/global_step,critic/rewards/mean,actor/entropy_loss,actor/kl_loss,actor/pg_loss,exp_replay/num_experience_tasks,exp_replay/num_offpolicy_trajectories,exp_replay/total_tasks_in_pool,exp_replay/offpolicy_rollout_ratio,exp_replay/offpolicy_token_ratio_llm,exp_replay/offpolicy_token_ratio_response,exp_replay/offpolicy_age_mean,exp_replay/offpolicy_age_max,exp_replay/offpolicy_age_min,exp_replay/offpolicy_age_count,exp_replay/entropy_llm_mean,exp_replay/entropy_llm_onpolicy_mean,exp_replay/entropy_llm_offpolicy_mean,exp_replay_diag/importance_ratio/off/mean,exp_replay_diag/importance_ratio/off/p90,exp_replay_diag/importance_ratio/off/p99,exp_replay_diag/importance_ratio/off/max,exp_replay_diag/importance_ratio_shaped/off/mean,exp_replay_diag/importance_ratio_shaped/off/p99,exp_replay_diag/adv/off/mean,exp_replay_diag/adv/on/mean,diag/exp_token_ratio,diag/teacher_token_ratio,diag/llm_token_ratio_in_response,diag/teacher_llm_token_ratio,diag/teacher_sample_ratio,diag/offpolicy_sample_ratio,diag/adv_onpolicy_token_mean,diag/adv_onpolicy_sample_mean,diag/onpolicy_adv_pos_ratio,diag/reward_onpolicy_mean,diag/entropy_onpolicy_token_mean,diag/entropy_onpolicy_token_std,diag/adv_self_off_token_mean,diag/entropy_offpolicy_token_mean
11,11.0,0.546875,0.1744852066040039,0.45107921957969666,0.0757274441421032,4.0,4.0,18.0,0.0625,0.023906763643026352,0.0040278187952935696,7.0,9.0,5.0,4.0,0.7679102420806885,0.7776916027069092,0.3685453534126282,2299183.2378407717,1.305986225605011,2504.0999641418457,698939072.0,0.8467346131801605,0.9984663724899292,0.27003028988838196,-0.11965686721461159,0.0040278187952935,0.0,0.1684803068637848,0.0,0.0,0.0625,-0.0274503864347934,-0.0055078733712434,0.2833333313465118,0.5166666507720947,0.1737004071474075,0.5123084187507629,0.3105947077274322,0.3685453534126282
12,12.0,0.484375,0.14898811280727386,0.07603847235441208,-0.17541202530264854,4.0,4.0,20.0,0.0625,0.035269301384687424,0.005012566223740578,6.5,11.0,1.0,4.0,0.7872071266174316,0.8020272254943848,0.38182950019836426,2303.6234220663705,1.0007586479187012,1763.1346995035808,729353.75,0.852449099222819,0.9981332818667094,0.7414592107137045,0.07024367956014779,0.0050125662237405,0.0,0.1421226561069488,0.0,0.0,0.0625,-0.0464119873940944,-0.0106550669297575,0.449999988079071,0.449999988079071,0.1478151082992553,0.4757637083530426,0.562584638595581,0.3818294405937195
13,13.0,0.46875,0.18336379528045654,0.2634195387363434,-0.13979511708021164,4.0,4.0,21.0,0.0625,0.03174908459186554,0.00554739311337471,7.25,10.0,4.0,4.0,0.7929893732070923,0.8032841086387634,0.4790289103984833,,,,,,,,0.13979511708021164,0.0055473931133747,0.0,0.1747260838747024,0.0,0.0,0.0625,-0.0455456003546714,-0.0097285723313689,0.4333333373069763,0.4333333373069763,0.1817144900560379,0.5241050124168396,1.2215601205825806,0.4790288805961609
14,14.0,0.46875,0.15792973339557648,0.31536105275154114,-0.048672886565327644,4.0,4.0,23.0,0.0625,0.03095872886478901,0.004601712338626385,4.25,12.0,1.0,4.0,0.7776769399642944,0.7878984212875366,0.45773544907569885,718.9472351074219,2.2198097109794617,932.6534881591797,209210.203125,0.851780891418457,0.9997870028018951,0.7377365827560425,-0.034005707928112576,0.0046017123386263,0.0,0.1486402153968811,0.0,0.0,0.0625,-0.0495609119534492,-0.0137192150577902,0.4333333373069763,0.4333333373069763,0.1565437465906143,0.4884869754314422,1.071528673171997,0.4577354490756988
15,15.0,0.453125,0.15750180184841156,0.34137624502182007,0.04082608036696911,4.0,4.0,24.0,0.0625,0.027185168117284775,0.004117406904697418,7.5,12.0,2.0,4.0,0.7793815732002258,0.7888675332069397,0.4399277865886688,93519.6875,1.0043823719024658,25371.111328125,13749748.0,0.848471462726593,0.9999735355377197,0.9354126453399658,-0.09645922780036927,0.0041174069046974,0.0,0.1514578461647033,0.0,0.0,0.0625,-0.048799455165863,-0.0089337909594178,0.4166666567325592,0.4166666567325592,0.1563341170549392,0.4881616234779358,0.750992476940155,0.4399277865886688
16,16.0,0.71875,0.153652623295784,0.08715544641017914,0.0939703918993473,4.0,4.0,25.0,0.0625,0.05160034820437431,0.007374913897365332,6.75,13.0,1.0,4.0,0.7719417214393616,0.792979896068573,0.385267436504364,175.1364278793335,2.091973602771759,1232.8409447669983,67800.3671875,0.8598107695579529,0.9967381060123444,0.780582383275032,-0.20356316651616777,0.0073749138973653,0.0,0.1429237276315689,0.0,0.0,0.0625,-0.0507427379488945,-0.0054413718171417,0.4333333373069763,0.699999988079071,0.1519317924976349,0.4869985580444336,0.7206948399543762,0.3852674067020416
17,17.0,0.578125,0.17360782623291016,0.4030962884426117,-0.12741776183247566,4.0,4.0,27.0,0.0625,0.01855245605111122,0.0029241538140922785,7.25,16.0,1.0,4.0,0.8296980261802673,0.8376770615577698,0.4075973927974701,14282987.640625,2.375077247619629,3571467.4926757812,7912517120.0,0.8617180287837982,0.9999955892562866,0.780582383275032,0.049260152237755914,0.0029241538140922,0.0,0.157615453004837,0.0,0.0,0.0625,-0.0488446354866027,0.0009989440441131,0.550000011920929,0.550000011920929,0.172921597957611,0.5210968852043152,0.7310130000114441,0.4075974225997925
18,18.0,0.375,0.14111770689487457,0.14345332980155945,0.15592548809945583,4.0,4.0,29.0,0.0625,0.027522273361682892,0.0036962309386581182,10.25,17.0,4.0,4.0,0.7974732518196106,0.806800365447998,0.4679092764854431,369.6080017089844,1.0722092390060425,37.03981399536133,141006.828125,0.8409004211425781,0.9972524046897888,0.5400605201721191,-0.19659632841746014,0.0036962309386581,0.0,0.1342996209859848,0.0,0.0,0.0625,-0.0375071503221988,-0.012189794331789,0.3333333432674408,0.3333333432674408,0.1399053335189819,0.4691027104854584,1.175778031349182,0.4679092764854431
19,19.0,0.734375,0.20549330115318298,0.09336975961923599,-0.004795311018824577,4.0,4.0,32.0,0.0625,0.036660850048065186,0.006730786059051752,9.75,14.0,6.0,4.0,0.8215989470481873,0.8338469862937927,0.4997563660144806,,,,,,,,0.00479532778263092,0.0067307860590517,0.0,0.1835960149765014,0.0,0.0,0.0625,-0.0618665665388107,-0.0052540996111929,0.5833333134651184,0.7166666388511658,0.2034992575645446,0.5621641278266907,0.609762966632843,0.4997564256191253
20,20.0,0.5625,0.18387767672538757,0.13144828379154205,-0.17905920185148716,4.0,4.0,34.0,0.0625,0.05508891120553017,0.008829026482999325,10.25,17.0,3.0,4.0,0.8260198831558228,0.8453269600868225,0.4948543906211853,181.0413055419922,1.7813665866851807,277.26947021484375,64757.78515625,0.8661729097366333,0.9996143579483032,0.7245674133300781,0.14915644923845928,0.0088290264829993,0.0,0.1602686643600464,0.0,0.0,0.0625,-0.0448028296232223,-0.0117703014984726,0.4000000059604645,0.5333333611488342,0.1811075955629348,0.5346179604530334,1.0923223495483398,0.4948543906211853
