diag/exp_token_ratio,diag/llm_token_ratio_in_response,diag/teacher_llm_token_ratio,diag/teacher_sample_ratio,diag/offpolicy_sample_ratio,diag/adv_teacher_sample_mean,diag/adv_onpolicy_sample_mean,diag/teacher_adv_pos_ratio,diag/group_teacher_minus_on_reward_std,diag/group_gap_count,diag/entropy_offpolicy_token_mean,diag/entropy_onpolicy_token_std,_step,critic/rewards_onpolicy/mean,critic/rewards/mean,actor/entropy_loss,actor/kl_loss,actor/pg_loss,diag/teacher_token_ratio,diag/adv_teacher_token_mean,diag/adv_onpolicy_token_mean,diag/onpolicy_adv_pos_ratio,diag/reward_onpolicy_mean,diag/reward_teacher_mean,diag/group_teacher_minus_on_reward_mean,diag/group_non_teacher_reward_mean,diag/group_all_reward_mean,diag/entropy_teacher_token_mean,diag/entropy_onpolicy_token_mean,label
0.007228600326925516,0.14847156405448914,0.04868676885962486,0.125,0.125,0.12116310000419617,-0.011349879205226898,1.0,0.24156695104408363,8.0,0.27703943848609924,0.4131515622138977,1,0.4464285671710968,0.515625,0.12450799345970154,0.0031733233481645584,-0.06012674421072006,0.007228600326925516,1.0124363899230957,-0.04652845859527588,0.4464285671710968,0.4464285671710968,1.0,0.5535714285714286,0.4464285714285714,0.515625,0.27703943848609924,0.12339738011360168,Exp-1 (7.1 baseline-sep only)
0.012543336488306522,0.18975430727005005,0.06610304117202759,0.125,0.125,0.170619398355484,0.0015956570859998465,1.0,0.1855768722395226,8.0,0.32000187039375305,0.4674915075302124,2,0.1785714328289032,0.28125,0.16312915086746216,0.0038783911149948835,-0.13441569730639458,0.012543336488306522,1.0085915327072144,-0.016459684818983078,0.1785714328289032,0.1785714328289032,1.0,0.8214285714285714,0.17857142857142855,0.28125,0.32000187039375305,0.1611364185810089,Exp-1 (7.1 baseline-sep only)
0.014249227941036224,0.15580329298973083,0.09145653247833252,0.125,0.125,0.14963072538375854,-0.00013197319640312344,0.875,0.33071891388307384,8.0,0.3706962764263153,0.43888846039772034,3,0.3035714328289032,0.390625,0.14179182052612305,0.0067048645578324795,0.016484683379530907,0.014249227941036224,0.9655604362487793,-0.02130025438964367,0.1785714328289032,0.3035714328289032,1.0,0.6964285714285714,0.3035714285714286,0.390625,0.3706962764263153,0.1384829580783844,Exp-1 (7.1 baseline-sep only)
0.00859350897371769,0.13571903109550476,0.06331837922334671,0.125,0.125,0.13711395859718323,-0.004462812095880508,1.0,0.15567496226930982,8.0,0.28585800528526306,0.3952658176422119,4,0.3214285671710968,0.40625,0.11577876657247543,0.0023011795710772276,0.09941410273313522,0.00859350897371769,1.1859936714172363,-0.02804998867213726,0.3214285671710968,0.3214285671710968,1.0,0.6785714285714286,0.3214285714285714,0.40625,0.28585800528526306,0.11430452018976212,Exp-1 (7.1 baseline-sep only)
0.010234322398900986,0.17433156073093414,0.05870607867836952,0.125,0.125,0.1706143021583557,-0.0016261658165603876,1.0,0.22303564279994278,8.0,0.3410371243953705,0.4805186092853546,5,0.25,0.34375,0.1665130853652954,0.010744079016149044,-0.1919923909008503,0.010234322398900986,1.4425123929977417,-0.021752480417490005,0.25,0.25,1.0,0.75,0.24999999999999997,0.34375,0.3410371243953705,0.1647084802389145,Exp-1 (7.1 baseline-sep only)
0.004361525643616915,0.12227848917245865,0.035668790340423584,0.109375,0.109375,0.08845148235559464,-0.0024086316116154194,1.0,0.28278380531736774,7.0,0.24965530633926392,0.399637907743454,6,0.42105263471603394,0.484375,0.1130596473813057,0.005035002250224352,-0.031676070764660835,0.004361525643616915,0.9003806114196777,-0.028197111561894417,0.42105263471603394,0.42105263471603394,1.0,0.5306122448979591,0.4693877551020408,0.5357142857142857,0.24965530633926392,0.11246127635240555,Exp-1 (7.1 baseline-sep only)
0.0052539086900651455,0.11567889153957367,0.045418042689561844,0.125,0.125,0.08009504526853561,-0.0002550184726715088,0.875,0.3331206804674577,8.0,0.2530770003795624,0.386485755443573,7,0.3928571343421936,0.46875,0.10526467114686966,0.009835246950387955,-0.018826253712177277,0.0052539086900651455,0.8649653196334839,-0.01875775307416916,0.2678571343421936,0.3928571343421936,1.0,0.6071428571428572,0.39285714285714285,0.46875,0.2530770003795624,0.104483962059021,Exp-1 (7.1 baseline-sep only)
0.006689198315143585,0.13617698848247528,0.04912135750055313,0.125,0.125,0.16908365488052368,-0.0008959852857515216,1.0,0.13243211584099399,8.0,0.24079656600952148,0.43593958020210266,8,0.1607142835855484,0.265625,0.12939980626106262,0.026896899566054344,-0.3478420879691839,0.006689198315143585,1.3341171741485596,-0.015556391328573227,0.1607142835855484,0.1607142835855484,1.0,0.8392857142857143,0.1607142857142857,0.265625,0.24079656600952148,0.12864963710308075,Exp-1 (7.1 baseline-sep only)
0.009798521175980568,0.14235557615756989,0.06883130967617035,0.125,0.125,0.12728430330753326,-0.001889770501293242,0.875,0.3494711748353737,8.0,0.2866760194301605,0.45081380009651184,9,0.375,0.453125,0.14130227267742157,0.013661849312484264,-0.20581322722136974,0.009798521175980568,1.1692231893539429,-0.029388433322310448,0.25,0.375,1.0,0.625,0.375,0.453125,0.2866760194301605,0.1398637294769287,Exp-1 (7.1 baseline-sep only)
0.0067796180956065655,0.14165715873241425,0.04785933718085289,0.125,0.125,0.0934612974524498,0.002157848561182618,0.75,0.39729634752298193,8.0,0.3514804244041443,0.460113525390625,10,0.4821428656578064,0.546875,0.14127182960510254,0.16251420974731445,-0.36111149564385414,0.0067796180956065655,1.019210696220398,-0.023523185402154922,0.2321428507566452,0.4821428656578064,1.0,0.5178571428571429,0.48214285714285715,0.546875,0.3514804244041443,0.13983696699142456,Exp-1 (7.1 baseline-sep only)
0.010675309225916862,0.17058472335338593,0.06258068978786469,0.125,0.125,0.19773384928703308,-0.0004067826666869223,1.0,0.22517000380211594,8.0,0.38941168785095215,0.49323171377182007,11,0.2321428507566452,0.328125,0.16993044316768646,0.1538478285074234,-0.043066250160336494,0.010675309225916862,1.2809829711914062,-0.023748649284243584,0.2321428507566452,0.2321428507566452,1.0,0.7678571428571428,0.23214285714285712,0.328125,0.38941168785095215,0.16756212711334229,Exp-1 (7.1 baseline-sep only)
0.008681073784828186,0.14522580802440643,0.05977638438344002,0.125,0.125,0.11982110887765884,-0.0032385268714278936,1.0,0.2834733547569204,8.0,0.3366493582725525,0.4732046127319336,12,0.25,0.34375,0.14787857234477997,0.05772026628255844,-0.2744695898145437,0.008681073784828186,1.1803094148635864,-0.020362725481390953,0.25,0.25,1.0,0.75,0.25,0.34375,0.3366493582725525,0.1462254673242569,Exp-1 (7.1 baseline-sep only)
0.008247321471571922,0.13343821465969086,0.061806291341781616,0.125,0.125,0.08537361025810242,3.857697811326943e-05,1.0,0.23076514255928726,8.0,0.31717127561569214,0.44434037804603577,13,0.5535714030265808,0.609375,0.13452859222888947,0.17061221599578857,0.2169913724064827,0.008247321471571922,1.0016018152236938,-0.0378604419529438,0.5535714030265808,0.5535714030265808,1.0,0.44642857142857145,0.5535714285714285,0.609375,0.31717127561569214,0.13300976157188416,Exp-1 (7.1 baseline-sep only)
0.006739605683833361,0.13597175478935242,0.04956621676683426,0.125,0.125,0.07096938788890839,0.0016219456447288394,0.75,0.4221996577691746,8.0,0.2993148863315582,0.4607946276664734,14,0.3392857015132904,0.421875,0.14177964627742767,0.1207050159573555,-0.06462878733873367,0.006739605683833361,0.8263980150222778,-0.008795714937150478,0.0892857164144516,0.3392857015132904,1.0,0.6607142857142858,0.3392857142857143,0.421875,0.2993148863315582,0.140710711479187,Exp-1 (7.1 baseline-sep only)
0.007402125746011734,0.13866493105888367,0.053381383419036865,0.125,0.125,0.12243205308914185,-0.003631372470408678,1.0,0.29450754468697576,8.0,0.2816867530345917,0.4668487310409546,15,0.3571428656578064,0.4375,0.14544939994812012,0.2653757929801941,-0.19499790482223034,0.007402125746011734,1.4256045818328857,-0.0342877134680748,0.3571428656578064,0.3571428656578064,1.0,0.6428571428571429,0.3571428571428571,0.4375,0.2816867530345917,0.1444334238767624,Exp-1 (7.1 baseline-sep only)
0.0072595588862895966,0.13085977733135223,0.055475860834121704,0.125,0.125,0.08150292187929153,0.0031948424875736237,0.75,0.31134992453861954,8.0,0.3179980218410492,0.4686225652694702,16,0.5714285969734192,0.625,0.14096644520759583,0.026608573272824287,0.24159117601811886,0.0072595588862895966,0.9151723980903625,-0.03228580951690674,0.3214285671710968,0.5714285969734192,1.0,0.4285714285714286,0.5714285714285714,0.625,0.3179980218410492,0.13967186212539673,Exp-1 (7.1 baseline-sep only)
0.010591225698590279,0.15060146152973175,0.07032617926597595,0.125,0.125,0.10597700625658035,0.0041766539216041565,1.0,0.26486423168198797,8.0,0.38846221566200256,0.49288561940193176,17,0.4642857015132904,0.53125,0.1618029773235321,0.09340382367372513,-0.1103302501142025,0.010591225698590279,0.8877524733543396,-0.03241464123129845,0.4642857015132904,0.4642857015132904,1.0,0.5357142857142857,0.4642857142857143,0.53125,0.38846221566200256,0.15937669575214386,Exp-1 (7.1 baseline-sep only)
0.005208167247474194,0.12159831821918488,0.04283091425895691,0.109375,0.109375,0.1425034999847412,-0.0024031023494899273,0.8571428656578064,0.29433071636440733,7.0,0.35221052169799805,0.43584907054901123,18,0.31578946113586426,0.390625,0.12626537680625916,0.10070571303367615,-0.34626817144453526,0.005208167247474194,1.2196515798568726,-0.02424941398203373,0.19298245012760162,0.31578946113586426,1.0,0.6530612244897959,0.3469387755102041,0.42857142857142855,0.35221052169799805,0.12508244812488556,Exp-1 (7.1 baseline-sep only)
0.009853178635239601,0.17730361223220825,0.055572353303432465,0.125,0.125,0.11063921451568604,-0.004366311710327864,0.875,0.3273268353539886,8.0,0.2874428331851959,0.5475413799285889,19,0.4285714328289032,0.5,0.19185598194599152,0.04691975936293602,-0.12947596609592438,0.009853178635239601,0.8584516644477844,-0.03244366869330406,0.3035714328289032,0.4285714328289032,1.0,0.5714285714285714,0.42857142857142855,0.5,0.2874428331851959,0.19090478122234344,Exp-1 (7.1 baseline-sep only)
0.006228337995707989,0.137996107339859,0.045134156942367554,0.125,0.125,0.11975094676017761,-0.002146979561075568,1.0,0.2672612419124244,8.0,0.3060956597328186,0.5007967948913574,20,0.4285714328289032,0.5,0.16155730187892914,0.1881333738565445,-0.12936358712613583,0.006228337995707989,1.2149567604064941,-0.042449839413166046,0.4285714328289032,0.4285714328289032,1.0,0.5714285714285714,0.42857142857142855,0.5,0.3060956597328186,0.16065143048763275,Exp-1 (7.1 baseline-sep only)
0.006609389092773199,0.13341934978961945,0.04953846335411072,0.125,0.125,0.11868755519390106,-0.0009272556053474545,1.0,0.21943224513293763,8.0,0.39775389432907104,0.47762539982795715,21,0.4107142984867096,0.484375,0.14688825607299805,0.18766896426677704,-0.05945119820535183,0.006609389092773199,0.9751569032669067,-0.026533998548984528,0.4107142984867096,0.4107142984867096,1.0,0.5892857142857143,0.4107142857142857,0.484375,0.39775389432907104,0.14521917700767517,Exp-1 (7.1 baseline-sep only)
0.007410290651023388,0.13578645884990692,0.054573118686676025,0.109375,0.109375,0.11674104630947113,-0.0023283495102077723,1.0,0.28571428571428575,7.0,0.39550623297691345,0.4724009037017822,22,0.4035087823867798,0.46875,0.14611001312732697,0.17907141149044037,-0.32406535372138023,0.007410290651023388,1.1022294759750366,-0.02567899227142334,0.4035087823867798,0.4035087823867798,1.0,0.5714285714285714,0.42857142857142855,0.5,0.39550623297691345,0.1442481279373169,Exp-1 (7.1 baseline-sep only)
0.0059983800165355206,0.11199872195720673,0.05355757474899292,0.125,0.125,0.07362443953752518,0.0006863691960461438,1.0,0.3425593945223371,8.0,0.30389654636383057,0.4455757141113281,23,0.3571428656578064,0.4375,0.1276271641254425,0.1446525901556015,-0.03620512783527374,0.0059983800165355206,0.9321911334991455,-0.018833564594388008,0.3571428656578064,0.3571428656578064,1.0,0.6428571428571428,0.3571428571428571,0.4375,0.30389654636383057,0.1265634298324585,Exp-1 (7.1 baseline-sep only)
0.009085305035114288,0.14926308393478394,0.060867730528116226,0.125,0.125,0.12563824653625488,7.444833318004385e-05,1.0,0.29827309086589404,8.0,0.3858643174171448,0.5173758268356323,24,0.4464285671710968,0.515625,0.17210862040519714,0.15940967202186584,-0.12975257821381092,0.009085305035114288,1.2214791774749756,-0.03401658684015274,0.4464285671710968,0.4464285671710968,1.0,0.5535714285714286,0.4464285714285714,0.515625,0.3858643174171448,0.17014876008033752,Exp-1 (7.1 baseline-sep only)
0.006936662830412388,0.12029357254505157,0.057664453983306885,0.109375,0.109375,0.09241215884685516,0.0004439824551809579,1.0,0.24659277497131782,7.0,0.324144572019577,0.46980494260787964,25,0.38596490025520325,0.453125,0.13994744420051575,0.2942875921726227,0.0068437885493040085,0.006936662830412388,0.8998500108718872,-0.02465365082025528,0.38596490025520325,0.38596490025520325,1.0,0.5510204081632653,0.4489795918367347,0.5178571428571429,0.324144572019577,0.13866081833839417,Exp-1 (7.1 baseline-sep only)
0.008278155699372292,0.12684310972690582,0.06526295095682144,0.109375,0.109375,0.07945679128170013,-0.0047934227623045444,1.0,0.34027208164353195,7.0,0.30846107006073,0.46570080518722534,26,0.42105263471603394,0.484375,0.13833032548427582,0.10549400746822357,0.1742475312203169,0.008278155699372292,0.725291907787323,-0.01937299594283104,0.42105263471603394,0.42105263471603394,1.0,0.5102040816326531,0.489795918367347,0.5535714285714286,0.30846107006073,0.13691020011901855,Exp-1 (7.1 baseline-sep only)
0.010330593213438988,0.12054443359375,0.08569946140050888,0.125,0.125,0.074552521109581,-0.0017403430538251996,0.75,0.338344559312436,8.0,0.4517558515071869,0.46370387077331543,27,0.5892857313156128,0.640625,0.1382707953453064,0.11642282456159592,0.08796205744147301,0.010330593213438988,0.7077523469924927,-0.020510990172624588,0.3392857015132904,0.5892857313156128,1.0,0.41071428571428575,0.5892857142857143,0.640625,0.4517558515071869,0.13499851524829865,Exp-1 (7.1 baseline-sep only)
