diag/exp_token_ratio,diag/llm_token_ratio_in_response,diag/teacher_llm_token_ratio,diag/teacher_sample_ratio,diag/offpolicy_sample_ratio,diag/adv_teacher_sample_mean,diag/adv_onpolicy_sample_mean,diag/teacher_adv_pos_ratio,diag/group_teacher_minus_on_reward_std,diag/group_gap_count,diag/entropy_offpolicy_token_mean,diag/entropy_onpolicy_token_std,_step,critic/rewards_onpolicy/mean,critic/rewards/mean,actor/entropy_loss,actor/kl_loss,actor/pg_loss,diag/teacher_loss_scale,diag/teacher_gap_used,diag/teacher_gap_ema,diag/teacher_token_ratio,diag/adv_teacher_token_mean,diag/adv_onpolicy_token_mean,diag/onpolicy_adv_pos_ratio,diag/reward_onpolicy_mean,diag/reward_teacher_mean,diag/group_teacher_minus_on_reward_mean,diag/group_non_teacher_reward_mean,diag/group_all_reward_mean,diag/entropy_teacher_token_mean,diag/entropy_onpolicy_token_mean,label
0.006844765972346067,0.146136075258255,0.04683830589056015,0.125,0.125,0.12171430140733719,-0.009633159264922142,1.0,0.24743582965269675,8.0,0.27703946828842163,0.4224998354911804,1,0.4285714328289032,0.5,0.12598095834255219,0.0048802937380969524,-0.02616758644580841,0.7380952380952381,0.5714285714285714,0.5714285714285714,0.006844765972346067,1.0353974103927612,-0.03502477705478668,0.4285714328289032,0.4285714328289032,1.0,0.5714285714285714,0.4285714285714285,0.5,0.27703946828842163,0.12493986636400223,Exp-3 v2 (7.1 + 7.2 annealed)
0.012623936869204044,0.19566921889781952,0.06451672315597534,0.125,0.125,0.19852952659130096,0.0005191942327655852,1.0,0.18123020651950392,8.0,0.32191911339759827,0.49050039052963257,2,0.1607142835855484,0.265625,0.17535413801670074,0.008471185341477394,-0.08627582341432571,0.8273809523809521,0.5982142857142856,0.5982142857142856,0.012623936869204044,1.037630319595337,-0.02480584941804409,0.1607142835855484,0.1607142835855484,1.0,0.8392857142857142,0.1607142857142857,0.265625,0.32191911339759827,0.17348025739192963,Exp-3 v2 (7.1 + 7.2 annealed)
0.01358921080827713,0.1610604226589203,0.0843733698129654,0.125,0.125,0.15730689465999603,0.00046412114170379937,1.0,0.326839378887913,8.0,0.3692510724067688,0.4435305595397949,3,0.2321428507566452,0.328125,0.14325889945030212,0.005481407046318054,-0.10639137215912342,0.883928571428571,0.6151785714285712,0.6151785714285712,0.01358921080827713,1.0188817977905273,-0.02001366950571537,0.2321428507566452,0.2321428507566452,1.0,0.7678571428571428,0.23214285714285715,0.328125,0.3692510724067688,0.14014552533626556,Exp-3 v2 (7.1 + 7.2 annealed)
0.008907677605748177,0.13652968406677246,0.06524351984262466,0.125,0.125,0.14450721442699432,-0.0038860568311065435,1.0,0.19884872724392938,8.0,0.2880699336528778,0.39295756816864014,4,0.3928571343421936,0.46875,0.1162075325846672,0.010222893208265305,-0.13974139094352722,0.8812499999999998,0.6143749999999999,0.6143749999999999,0.008907677605748177,1.1151714324951172,-0.024027951061725616,0.3928571343421936,0.3928571343421936,1.0,0.6071428571428572,0.39285714285714285,0.46875,0.2880699336528778,0.11466287821531296,Exp-3 v2 (7.1 + 7.2 annealed)
0.011121677234768867,0.1706608384847641,0.06516830623149872,0.125,0.125,0.15181772410869598,0.0026675367262214422,0.875,0.32537262782658216,8.0,0.3360632658004761,0.4695970416069031,5,0.4642857015132904,0.53125,0.16157859563827515,0.04006526991724968,-0.2687703911215067,0.855029761904762,0.6065089285714286,0.6065089285714286,0.011121677234768867,1.3768442869186401,-0.021677125245332718,0.3392857015132904,0.4642857015132904,1.0,0.5357142857142857,0.4642857142857143,0.53125,0.3360632658004761,0.15961621701717377,Exp-3 v2 (7.1 + 7.2 annealed)
0.004430945497006178,0.12666785717010498,0.03498082235455513,0.109375,0.109375,0.11552625149488449,-0.0038372979033738375,1.0,0.3226813938947326,7.0,0.25172191858291626,0.3990266025066376,6,0.4385964870452881,0.5,0.11366062611341476,0.006884241942316294,-0.11813394352793694,0.8229281462585033,0.596878443877551,0.596878443877551,0.004430945497006178,1.1602394580841064,-0.02951176092028618,0.4385964870452881,0.4385964870452881,1.0,0.5102040816326531,0.4897959183673469,0.5535714285714286,0.25172191858291626,0.11304615437984467,Exp-3 v2 (7.1 + 7.2 annealed)
0.004923559259623289,0.1153046265244484,0.042700447142124176,0.125,0.125,0.11398939788341522,0.0019426383078098297,0.875,0.29827309086589404,8.0,0.2492126226425171,0.37956106662750244,7,0.2678571343421936,0.359375,0.1027144193649292,0.0632084310054779,-0.010451609268784523,0.8680162840136052,0.6104048852040815,0.6104048852040815,0.004923559259623289,1.2165708541870117,-0.015482618473470211,0.1428571492433548,0.2678571343421936,1.0,0.7321428571428572,0.2678571428571428,0.359375,0.2492126226425171,0.10198955982923508,Exp-3 v2 (7.1 + 7.2 annealed)
0.006783802527934313,0.1354954093694687,0.05006666108965874,0.125,0.125,0.11820323020219803,-0.005594791378825903,1.0,0.21354037041252497,8.0,0.24130041897296906,0.42560747265815735,8,0.2321428507566452,0.328125,0.12536582350730896,0.011477366089820862,-0.14733516611158848,0.920500369897959,0.6261501109693877,0.6261501109693877,0.006783802527934313,1.1552668809890747,-0.022498061880469322,0.2321428507566452,0.2321428507566452,1.0,0.7678571428571428,0.23214285714285712,0.328125,0.24130041897296906,0.1245739758014679,Exp-3 v2 (7.1 + 7.2 annealed)
0.009425257332623005,0.14371462166309357,0.06558314710855484,0.125,0.125,0.13254167139530182,-0.0009867631597444415,1.0,0.326839378887913,8.0,0.2833438515663147,0.4421725273132324,9,0.375,0.453125,0.13801677525043488,0.025669576600193977,-0.21823308058083057,0.9201169995748297,0.6260350998724489,0.6260350998724489,0.009425257332623005,1.132000207901001,-0.03350866213440895,0.375,0.375,1.0,0.625,0.375,0.453125,0.2833438515663147,0.1366339921951294,Exp-3 v2 (7.1 + 7.2 annealed)
0.006750238128006458,0.14344730973243713,0.047057267278432846,0.125,0.125,0.10726628452539444,-0.0037378710694611073,1.0,0.338344559312436,8.0,0.3489930033683777,0.4508013129234314,10,0.4464285671710968,0.515625,0.13942886888980865,0.05653739720582962,-0.14799133129417896,0.8959624424744899,0.6187887327423469,0.6187887327423469,0.006750238128006458,1.0283187627792358,-0.0345798097550869,0.4464285671710968,0.4464285671710968,1.0,0.5535714285714286,0.4464285714285714,0.515625,0.3489930033683777,0.13800464570522308,Exp-3 v2 (7.1 + 7.2 annealed)
