diag/exp_token_ratio,diag/llm_token_ratio_in_response,diag/teacher_llm_token_ratio,diag/teacher_sample_ratio,diag/offpolicy_sample_ratio,diag/adv_teacher_sample_mean,diag/adv_onpolicy_sample_mean,diag/teacher_adv_pos_ratio,diag/group_teacher_minus_on_reward_std,diag/group_gap_count,diag/entropy_offpolicy_token_mean,diag/entropy_onpolicy_token_std,_step,critic/rewards_onpolicy/mean,critic/rewards/mean,actor/entropy_loss,actor/kl_loss,actor/pg_loss,diag/teacher_loss_scale,diag/teacher_gap_used,diag/teacher_gap_ema,diag/teacher_token_ratio,diag/adv_teacher_token_mean,diag/adv_onpolicy_token_mean,diag/onpolicy_adv_pos_ratio,diag/reward_onpolicy_mean,diag/reward_teacher_mean,diag/group_teacher_minus_on_reward_mean,diag/group_non_teacher_reward_mean,diag/group_all_reward_mean,diag/entropy_teacher_token_mean,diag/entropy_onpolicy_token_mean,label
0.007383716758340597,0.1465979665517807,0.05036711320281029,0.125,0.125,0.14463333785533905,-0.027437567710876465,1.0,0.24484480715718018,8.0,0.27703946828842163,0.4106796681880951,1,0.3928571343421936,0.46875,0.1255321502685547,0.003011146327480674,0.006732676178216934,1,0.6071428571428572,0.6071428571428572,0.007383716758340597,1.2877511978149414,-0.06603468209505081,0.3928571343421936,0.3928571343421936,1,0.6071428571428572,0.39285714285714285,0.46875,0.27703946828842163,0.1244051530957222,Exp-2 (7.2 adaptive gate)
0.012950727716088295,0.18783187866210938,0.06894850730895996,0.125,0.125,0.3276524841785431,-0.046262115240097046,0.875,0.33502969713024494,8.0,0.3229104280471802,0.4542677402496338,2,0.2142857164144516,0.3125,0.15851585566997528,0.003864393336698413,-0.007955538108944893,1,0.625,0.625,0.012950727716088295,1.9691017866134644,-0.05588746815919876,0.0892857164144516,0.2142857164144516,1,0.7857142857142857,0.21428571428571427,0.3125,0.3229104280471802,0.15635888278484344,Exp-2 (7.2 adaptive gate)
0.013700904324650764,0.15525811910629272,0.08824597299098969,0.125,0.125,0.2382657825946808,-0.038355253636837006,1.0,0.2714050741709047,8.0,0.36709967255592346,0.4496290981769562,3,0.2678571343421936,0.359375,0.14538134634494781,0.0018690560245886445,-0.04183446057140827,1,0.6357142857142857,0.6357142857142857,0.013700904324650764,1.6520894765853882,-0.051760636270046234,0.2678571343421936,0.2678571343421936,1,0.7321428571428572,0.26785714285714285,0.359375,0.36709967255592346,0.14230142533779144,Exp-2 (7.2 adaptive gate)
0.008346479386091232,0.13022682070732117,0.06409186124801636,0.125,0.125,0.1936478614807129,-0.03875487670302391,1.0,0.15567496226930977,8.0,0.28349757194519043,0.3885304629802704,4,0.1785714328289032,0.28125,0.1123025044798851,0.033879902213811874,0.20210754312574863,1,0.6542857142857144,0.6542857142857144,0.008346479386091232,1.6678640842437744,-0.05236689746379852,0.1785714328289032,0.1785714328289032,1,0.8214285714285715,0.17857142857142855,0.28125,0.28349757194519043,0.11086160689592361,Exp-2 (7.2 adaptive gate)
0.010417839512228966,0.1721658855676651,0.06051047146320343,0.125,0.125,0.2572163939476013,-0.04853970929980278,1.0,0.22303564279994278,8.0,0.333040326833725,0.4773474633693695,5,0.1785714328289032,0.28125,0.1647164225578308,0.0024252142757177353,0.09165745414793491,1,0.671,0.671,0.010417839512228966,1.9285207986831665,-0.06818290054798126,0.1785714328289032,0.1785714328289032,1,0.8214285714285714,0.17857142857142855,0.28125,0.333040326833725,0.16294439136981964,Exp-2 (7.2 adaptive gate)
0.004492712207138538,0.11397863924503326,0.03941714018583298,0.109375,0.109375,0.10821036249399185,-0.026231275871396065,0.8571428656578064,0.3957289679523534,7.0,0.23942632973194122,0.3893791437149048,6,0.4385964870452881,0.5,0.10587432980537415,0.005543150473386049,0.23141049593687057,1,0.6549204081632654,0.6549204081632654,0.004492712207138538,1.276550531387329,-0.042670417577028275,0.31578946113586426,0.4385964870452881,1,0.5102040816326531,0.489795918367347,0.5535714285714286,0.23942632973194122,0.10527161508798599,Exp-2 (7.2 adaptive gate)
0.0047288681380450726,0.10505473613739014,0.04501337558031082,0.125,0.125,0.15989919006824493,-0.026505665853619576,0.875,0.31083741402730736,8.0,0.24254485964775085,0.36252978444099426,7,0.1964285671710968,0.296875,0.09280961751937866,0.0051588863134384155,0.10210671089589596,1,0.6697855102040817,0.6697855102040817,0.0047288681380450726,1.8897652626037598,-0.035452552139759064,0.0714285746216774,0.1964285671710968,1,0.8035714285714286,0.1964285714285714,0.296875,0.24254485964775085,0.0920981764793396,Exp-2 (7.2 adaptive gate)
0.006835158448666334,0.11613303422927856,0.058856282383203506,0.125,0.125,0.18346795439720154,-0.031474627554416656,1.0,0.23076514255928726,8.0,0.23336699604988098,0.3938261866569519,8,0.1607142835855484,0.265625,0.10715102404356003,0.009162802249193192,0.007914908230304718,1,0.6867355306122449,0.6867355306122449,0.006835158448666334,1.9675720930099487,-0.04064437001943588,0.1607142835855484,0.1607142835855484,1,0.8392857142857143,0.1607142857142857,0.265625,0.23336699604988098,0.10628237575292587,Exp-2 (7.2 adaptive gate)
0.00975094921886921,0.1234826147556305,0.0789661705493927,0.125,0.125,0.1528272181749344,-0.027242694050073624,1.0,0.25753937681885636,8.0,0.269796222448349,0.41500452160835266,9,0.3571428656578064,0.4375,0.12047722935676575,0.011553791351616383,0.11561122536659241,1,0.6823476918367347,0.6823476918367347,0.00975094921886921,1.3809196949005127,-0.055585164576768875,0.3571428656578064,0.3571428656578064,1,0.6428571428571429,0.3571428571428571,0.4375,0.269796222448349,0.11900690197944641,Exp-2 (7.2 adaptive gate)
0.006478150840848684,0.12486680597066879,0.05188048630952835,0.125,0.125,0.18470734357833862,-0.028148535639047623,1.0,0.3253726278265821,8.0,0.31745660305023193,0.41222867369651794,10,0.3214285671710968,0.40625,0.11735747754573822,0.035670239478349686,-0.12592650763690472,1,0.6819700655102041,0.6819700655102041,0.006478150840848684,1.8136311769485474,-0.05442914366722107,0.3214285671710968,0.3214285671710968,1,0.6785714285714286,0.3214285714285714,0.40625,0.31745660305023193,0.1160527691245079,Exp-2 (7.2 adaptive gate)
0.010755429044365883,0.14475901424884796,0.07429885119199753,0.125,0.125,0.19935329258441925,-0.036126382648944855,1.0,0.1556749622693098,8.0,0.3539678454399109,0.4387589395046234,11,0.25,0.34375,0.13619932532310486,0.04171929135918617,0.10676731169223785,1,0.6887730589591837,0.6887730589591837,0.010755429044365883,1.3565573692321777,-0.05028883367776871,0.25,0.25,1,0.75,0.25,0.34375,0.3539678454399109,0.1338316649198532,Exp-2 (7.2 adaptive gate)
