_step,n_tasks,gap_mean,gap_std,gap_p50,gap_p90,gap_max,frac_gap_gt_0_5,frac_gap_gt_0_7
1,8.0,0.6428571428571429,0.23690177073967142,0.5714285714285714,1.0,1.0,0.75,0.375
2,8.0,0.75,0.17127969726116857,0.7857142857142858,0.9,1.0,0.875,0.75
3,8.0,0.7678571428571428,0.2467906243050938,0.8571428571428572,1.0,1.0,0.75,0.625
4,8.0,0.7321428571428572,0.15046696023529216,0.7857142857142858,0.8571428571428572,0.8571428571428572,0.875,0.75
5,8.0,0.75,0.25505101530510177,0.8571428571428572,1.0,1.0,0.625,0.625
6,7.0,0.6122448979591837,0.3796137803620056,0.8571428571428572,1.0,1.0,0.5714285714285714,0.5714285714285714
7,8.0,0.7321428571428572,0.30670650066638694,0.8571428571428572,1.0,1.0,0.875,0.75
8,8.0,0.6964285714285714,0.21943224513293766,0.7142857142857143,0.9,1.0,0.875,0.5
9,8.0,0.6428571428571429,0.3499271061118826,0.7142857142857143,1.0,1.0,0.75,0.75
10,8.0,0.5357142857142857,0.34809979802889157,0.5714285714285714,0.9,1.0,0.5,0.5
11,8.0,0.7678571428571429,0.1587177574520641,0.7857142857142858,0.9,1.0,0.875,0.875
12,8.0,0.6964285714285714,0.28959419178976525,0.7142857142857143,1.0,1.0,0.75,0.625
13,8.0,0.5357142857142857,0.2834733547569204,0.5,0.9,1.0,0.5,0.375
14,8.0,0.6785714285714286,0.3331206804674577,0.8571428571428572,1.0,1.0,0.75,0.625
15,8.0,0.6785714285714286,0.40876868365212843,0.8571428571428572,1.0,1.0,0.75,0.75
16,8.0,0.4642857142857143,0.3174355149041282,0.5,0.8571428571428572,0.8571428571428572,0.5,0.375
17,8.0,0.5357142857142858,0.30929478706587094,0.4285714285714286,1.0,1.0,0.375,0.375
18,7.0,0.6326530612244897,0.21404262207554117,0.5714285714285714,0.8571428571428572,0.8571428571428572,0.7142857142857143,0.42857142857142855
19,8.0,0.48214285714285715,0.38423990698839305,0.5,1.0,1.0,0.5,0.375
20,8.0,0.5714285714285714,0.30304576336566325,0.7142857142857143,0.8571428571428572,0.8571428571428572,0.75,0.625
21,8.0,0.7142857142857143,0.2672612419124244,0.8571428571428572,1.0,1.0,0.625,0.625
22,7.0,0.5918367346938777,0.3616335744218235,0.7142857142857143,1.0,1.0,0.7142857142857143,0.5714285714285714
23,8.0,0.5535714285714286,0.2714050741709047,0.5714285714285714,0.7999999999999999,1.0,0.625,0.375
24,8.0,0.5357142857142857,0.1855768722395226,0.5714285714285714,0.7571428571428571,0.8571428571428572,0.625,0.25
25,7.0,0.6326530612244898,0.22725568827877643,0.5714285714285714,0.9142857142857144,1.0,0.7142857142857143,0.42857142857142855
26,7.0,0.5102040816326531,0.3729727935203483,0.4285714285714286,1.0,1.0,0.42857142857142855,0.42857142857142855
27,8.0,0.6607142857142858,0.2467906243050938,0.7142857142857143,1.0,1.0,0.625,0.625
28,8.0,0.5178571428571428,0.2851557039762735,0.42857142857142855,0.8571428571428572,0.8571428571428572,0.5,0.375
29,8.0,0.35714285714285715,0.2766416675862441,0.2857142857142857,0.7571428571428571,0.8571428571428572,0.25,0.25
30,8.0,0.3928571428571429,0.2834733547569204,0.35714285714285715,0.7571428571428571,0.8571428571428572,0.375,0.25
31,7.0,0.6938775510204083,0.27982263675106306,0.7142857142857143,1.0,1.0,0.8571428571428571,0.5714285714285714
32,8.0,0.6607142857142857,0.236227795630767,0.6428571428571428,1.0,1.0,0.75,0.5
33,8.0,0.4464285714285715,0.2618371124752711,0.35714285714285715,0.7571428571428571,0.8571428571428572,0.375,0.375
34,8.0,0.4821428571428572,0.236227795630767,0.5,0.7571428571428571,0.8571428571428572,0.5,0.25
35,8.0,0.5714285714285714,0.4040610178208843,0.5714285714285714,1.0,1.0,0.5,0.5
36,7.0,0.2653061224489796,0.2999375195244708,0.1428571428571429,0.6000000000000002,0.8571428571428572,0.14285714285714285,0.14285714285714285
37,8.0,0.37500000000000006,0.3025191847517396,0.35714285714285715,0.7571428571428571,0.8571428571428572,0.375,0.25
38,7.0,0.48979591836734687,0.2629407903413291,0.5714285714285714,0.742857142857143,1.0,0.5714285714285714,0.14285714285714285
39,7.0,0.4693877551020408,0.237998036524298,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.5714285714285714,0.2857142857142857
40,8.0,0.375,0.3189387696337813,0.42857142857142855,0.7142857142857143,0.7142857142857143,0.5,0.375
41,8.0,0.35714285714285715,0.31943828249996997,0.2857142857142857,0.8571428571428572,0.8571428571428572,0.25,0.25
42,7.0,0.5102040816326531,0.3135161529742289,0.4285714285714286,0.8571428571428572,0.8571428571428572,0.42857142857142855,0.42857142857142855
43,8.0,0.44642857142857145,0.28959419178976525,0.4285714285714286,0.8571428571428572,0.8571428571428572,0.375,0.25
44,8.0,0.4285714285714286,0.21428571428571427,0.4285714285714286,0.657142857142857,0.8571428571428572,0.25,0.125
45,8.0,0.5357142857142857,0.36246041303900783,0.5,1.0,1.0,0.5,0.375
46,8.0,0.48214285714285715,0.21354037041252497,0.4285714285714286,0.7571428571428571,0.8571428571428572,0.375,0.25
47,8.0,0.5178571428571429,0.3637776569189886,0.5,1.0,1.0,0.5,0.375
48,8.0,0.4107142857142857,0.28064702938395913,0.5,0.657142857142857,0.8571428571428572,0.5,0.125
49,7.0,0.36734693877551017,0.1999583463496472,0.4285714285714286,0.5428571428571429,0.7142857142857143,0.14285714285714285,0.14285714285714285
50,8.0,0.19642857142857142,0.26666400934050144,0.1428571428571429,0.4571428571428571,0.8571428571428572,0.125,0.125
51,8.0,0.39285714285714285,0.2834733547569204,0.35714285714285715,0.7571428571428571,0.8571428571428572,0.375,0.25
52,8.0,0.4285714285714286,0.12371791482634838,0.4285714285714286,0.5142857142857142,0.7142857142857143,0.125,0.125
53,8.0,0.25,0.31743551490412814,0.1428571428571429,0.5999999999999999,1.0,0.125,0.125
